source,target,edge
hotel,local  artifacts,has
staff,very  luggage,is
challenging  who,challenging  anyone,is
hotel,hilly cobblestone sidewalks,surrounded by hilly
Access,foot,is
early Airport it,airport,noise in
hotel,first  glance,was
They,certain safety reasons,lock
room,giant  TV,was spacious
night  we,AM,stayed
glass it,almost  feet,was
enough  it,toes,was
front  he,it,came
we,flight,Told
we,just  floor,told
Room,$  50,cost
Hotel,main  name,is
even  room,correct  Booking,was
I,sudden  fee,say
Cusco Billy hotel,hotel,was great
Location,local food market,being close
covenant nuns,back  days,looked like
Religious  paintings,all  walls,were
However  place,own,had
even  I,even  which,is
Clara  it,us,was
you,great  time,hope
you,nice  staff,is clean
several  that,several  days,’s
you,good  trip,hope
cleanliness,impeccability,closes on
day  floor,cleaned,moved
building,buzzer arrivals,is secure
water,shared  cosy,was hot
complaints,price,had
I,thoroughly  all,recommend to
location,as  rest,is
mucha tu apreciación prometemos,mejorando,seguir
I,here  base,volunteered
when  they,other  properties,live on
so door it,tired  person,have
them,less  volunteer,recommend
most  we,outside  agencies,booked through outside
atmosphere,sight,suggest
how  place,finances,is
8  I,8  days,used for
often  sheets,often  bedrooms,changed
you,them,shake
5 * service,consequently * corners,wants
it,apart  cleaner,'s
4  sheets,4  days,stayed for
more  guest,often toilet roll,shared by
1  cloth,sinks,used
standards,hospital,used
location,next  shops,is good-
changing  sheets,skin problems,seen
good  She,travelers,keeps
hair most,them,needed
living  we,that,share
you,Rainbow Mountain them,Make sure
most,rainbow trips,doubt most
you,tours,are friendly
behind storage you,Machu days,leave
Acceso,vegetariana,completamente
y noche hay fiesta,todo lo que,normalmente
el salón con mucha nosotros,el salón con mucha gente,opción
opción más cara,la  anterior,que
cocina vegana,y wifi,disponible
de de un turismo,que son increibles,Recomendadisimo
recommande cet hôtel,toute possibilité sécurité,backpack durant
Avons,hôtel bien situé,passé une
owner,us,welcomed
We,home,felt at
Rosita,really  excursions,was
we,matrimonial  bed,is
They,nice pizza restaurant,have
when  they,restaurant,let
few  we,other,speaks
pension  hostal,nice San Cusco,located in
bus,us,had
Once  it,Once  gate,was
then  we,look,went
so  we,restaurant,was available
it,restaurant,was
they,2  time,came from
It,an  food,took
new  it,that,was like
You,Urubamba- Sacred incas,think
I,staff,share
you,travellers,appreciate
several  hotel,several  nights,stayed at
we,cold  nights,were hot
desk clerk,very  English,was
when Machu we,same Machu room,were able
out Dear Guest,much  feedback,had
Knowing,very  travelers,is
Tripadvisor It,you,been
We,here  Cusco,look
Dear Randy J,much  feedback,Thank
Knowing,very  travelers,is
Tripadvisor It,you,been
We,here  Cusco,look
It,cheerful  reception,started
all service it,service shaft,freezing cold
man,duty,went
front  it,front  elevation,was bigger
nothing,many  years,think
he,film tv computer,was on
I,definitely  place,am
Knowing,very  travelers,is
I,certainly  nature,check
accessible  I,readinf  light,had
there  Ursula,much  feedback,Thank
Knowing,very  travelers,is
Tripadvisor It,you,been
We,here  Cusco,look
Beds,too  surface,were
Overall  appeal,hotel,was dark
hot  water,shower,Guest
much  which,very  us,Thank
We,everything,take
some,out  town,traveling with
staff,late  hours,was
little  they,small  rooms,was
I,just  night,was
Breakfast,three  supermarkets,located
so  I,part  shops,neighborhood full
us,very  us,is
very  You,hotel,'m
place,local  feel,is
I,nice  amenities,recommend
nice  they,floor,had
5 Dear Guest,much  feedback,Thank
Knowing,very  travelers,is
Tripadvisor It,you,been
We,here  Cusco,look
I,two Machu Picchu,stayed at
First  I,main  road,assigned
so  I,next  night,asked
long  I,two economy night,stood
there  it,night,were
they,hot  water,have hot
group,wake group leader,was unreliable
Positives,overall  facility,were
Knowing,very  travelers,is
I,certainly  nature,check
small  negative,admittedly shopping street,was
Knowing,very  travelers,is
Tripadvisor It,you,been
common  you,all  world,socialize
friendly  girls,Housekeeping,are
receptionists,new  city,are friendly
They,good  places,know
you,good  price,is
local  people,fresh  produce,find many
this,protests,are out
pretty  inside,nice  rooms,is
I,deeply  it,recommend
other  we,physically  hostlel,ordered
they,reservation,was horrible
They,us,talked to
They,how  people,know
I,that,went wrong
agreed  cleaners,12  pm,was
which,lobby,stayed in
finally  we,where  etc,After
we,questions,care
we,main  door,went
I,security reasons,going
when WhatsApp they,holidays,have
clearly hostel they,message,receive
we,hours,sleep for
we,Inca trail,had
super  he,reception,stop
We,storage room,brought
back  who,previously  room,went
she,arrival,confirm
com,reservation,confirmed
they,rude  alternatives,was
we,just  it,decided
they,50  soles,told
she,even  name,talked with
She,phone,ended
I,anything,think
They,last  Cusco,ruined
you,Cusco,stay
I,same  price,promise
location,everything,is bad
We,4 chusay nights,had
We,hostel,confirmed
else  we,else  room,told
we,check,told
just  us,solution,kicked
when  you,it,is average
second  they,bookings,moved from first
you,you,is in
bad  it,bad  opinion,read
definitely  who,too  privacy,is
bed,furniture,are small
there  they,it,is
time  somebody,"03,00",Be prepared
usually  you,available  problem,are OK
it,very  hostel,found
It,dirty  it,located at
finally  staff,finally  it,was
Luckily  guest,us,opened
all,other  Cuzco,are cheaper
common  it,nice rooftop patio,be
it,several  ways,’s
most  hostels,this,’s noisy
main  issue,staff,is with
I,woman,feel comfortable
then  it,also  room,tried
rooftop it,it,are
They,public  time,occupy
It,weird  vibe,creates
many hostel you,well  anything,try
airport transfer,there  us,was
We,three  nights,booked for
we,supposedly  cost,advised
we,rooms,instructed
This,three  nights,meant
we,worst rack breakfast,advised
serious communication place,English,is
They,buffet breakfasts pictures,offer
always  they,always  what,sounds like
slower  advice,yourself,do
there  i,home,felt like
how  you,mother,is like
full  it,beautifull  rooftop,place
2  i,והיא מדהימה,ונעים
where  this,best  city,spent
you,home,warming
nice  you,also  disposition,Thanks to
We,la Casa de Carmen,miss
shared  showers,apart afternoon/ midday,is good
helpful  he,French,is
I,Carmen Alto family,miss
so work I,spot,Had
place,super  night,is
secured water parking,available  day,bedding
reddish orange y you,less  room,leaves
enough  the,1  towels,think
new  they,current  it,get
bunched spider this,me,was
hotel,2 degree blocks,sits at
de  you,de  Armas,need
well  water,tap,have
Water,bathroom floor,escape
our,everything,were exceptional
you,peacfull sleep,is
laundry Wi service,24/7  room,is cheap
price,awesome  stay,Thanks for awesome
staff,seperate  that,is
very  they,instantly coca him,feeling
they,days,were
so  rooms,little  which,were tidy
breakfast,other  hostals,was
20  this,20  $,todos
we,three week Peru,was amongst
really  staff,English,'s
Also  they,breakfast,had
downside  it,fifteen minute downtown,'s
enough  you,morning,coffee
very  he,also  tourism,was
I,last  name,wish
fresh coca which,altitude illness,is fresh
where salt they,local  wheat,visited
it,thing,worked
place,price,is great
I,taxi,had
front  desk,personally  airport,was kind
lots,radiator,was clean
We,nice  TV,had
odd  shower,odd  times,was
I,neighbors,hear
location,touristy  places,is
things,price point,were
proper  they,late  night,did
genuine  interest,needs,was obvious
where tourist everything,tourists,service
This,us,is
Easy,4  soles,walk
Staff,early  check,were
advertised  Thanks,lovely  stay,return
basic  you,place,enjoy
15  we,airport,be
We,matrimonial  room,got
toilet,arrival,was
They,it,fixed
Hostel manager,Rail train station,helped
you,home,is
Hot  water,little  tinkering,takes
This,second  Cusco,is
few  I,it,expected
us,temporary  home,was available
that,lower room extras,were
Quinua,hotel charm,hands
you,view,beat
wonderful  apartment,picturesque San Blas Cusco,was close
beautiful  set,artsy  it,had
quickly  we,quickly  that,was wonderful
wonderful  we,highly  it,was
reviews,place,think
wonderful  you,so  reviews,’s cute
163  it,163  this,page
main  thing,misinformation,were other
apparently  they,one  time,needs
location,too  center,is great
essentially  everything,bit,involves
I,this,traveling since
ownerin,it,is
first  I,bit  accomodation,time
so  I,Quinua Villa Boutique,am
views,city,breathtaking
even  views,even  day,were amazing
I,one  hotel,have
homemade  that,room,served
how  you,how  much,like
designated  someone,door,knocking at
they,especially  you,set
you,things,make sure
One  egg,one  egg,equals
One  cup,one  coffee,equals
how  each,how  much,staying in
It,walk living closet,had
hotel,vehicles,is
even  you,hotel,suggest
It,so  this,take
it,ideal  location,felt
It,residential  area,was at
directly Cristo it,45  mountain,lead
small taxi driver,prior  hotel,are
food,town,are
that,hotel,are
many  businesses,all  Peru,sent
back  I,definitely Quinua Villa Boutique,stay at
We,two  nights,stayed for
#  it,#  2,had
you,time,fill
it,us,had
reason,4  stars,is
We,complete  appartements,expected
day  you,day  what,fill
indicated  breakfast,appartment,served in
It,room service,feels like
One,fire place,had
wood,10  dollars,costs
wonderful  who,incredibly  stay,were
warm  who,Peruvian  hospitality,gets
Un,10  Cusco,sobre
man bei Tee,dem hübschen Patio,relaxen
en pleno centro histórico,todo,cercana
einem eher beiläufig erzählt,kein Frühstück brauchen,haben
Tüte mit schmackhaftem,und  Lunchpaket,reichhaltigem
Preis ist für deutsche,Verhältnisse,super
We,separate  nights,booked
convenient  amenities,convenient  hotel,promised
Communication,great  English,was
that,result,cancelled
extremely  they,then  English,became
few  reservation,few  words,told
times  it,same  refund,inquired
really  I,email Bookings,think
2  we,answer,had
all  we,full  refund,received
good customer you,good customer money,have good
We,before Inca Trail,stayed
when  we,third  floor,stayed in
rooms,price,are ok
home Machu you,much  sleep,mean
before  owner,us,did
Many  hostel,main  square,located
We,pleasant Hotel Conquista Cusco,had
breakfast,price,included in
fresh  this,natural  juice,missed
hotel,central  rustle,is
free  we,Machu Picchu,stored
rest,rooms,are
5 Casa we,return,stayed at
local  who,bad  partnership,run by
I,good  place,have
many customer places,this,told
people,family,are comfy
you,more,want
English speaking room,around  10PM,was
DONT,SIMILAR PRICE RANGE,ARE OTHER
good  we,1  night,had
you,comments,think
most,comments,is
you,hotel,read
very  you,comments,is
basic  needs,pretty  wallet,am
Conquista,main  street,is safe
i,private  bathroom,take
shower bathroom settup,other  room,is
breakfast,dining area,is fresh
I,3 Inca nights,came to
though  that,night shifts,helps
por tus comentarios,encanto quedaran con nosotros,que nos
Highly  Hola,gracias tus comentarios ayudan,magkates muchas
We,private bunk bed,stayed in
hot  water,times,was inconsistent
breakfast,boiled  jam,was
staff,so  accommodations,for
en observaciones y esperamos,mucho gusto,Saludos
great  location,des minute Armas,was
muchas por tu comentarios,mejorar cada día,que
Location,right tourist road,placed in
you,price,are nice
you,luggage,is safe
tomaremos en cuenta tus observaciones,todos los sistemas,sobre
They,own  food,had great
mejor para,huéspedes,nuestros
so  I,high  hostel,had high
Even  I,front  arrival,was
4 day staff,4 day stay,was nice
they,specially  hostel,say
nos Mama Simona desde,y llegan mayoría de rumbo,donde
when luggage it,little  quiet,was warm
muchas Emma gracias,Mama Simona,que nos
muchas por tus comentarios,jugo de Mama Simona,esperamos en
Olla city hostel,river,arranged along
which,river,is from
We,one Machu Picchu,stayed for
so  it,base valley,feel
creo tú te,Mamá Simona Ollantaytambo,has
Regardless  location,Regardless  that,is awful
window,hardly bussy enough,leads
right  Which,right  street,seems
4  I,inner  bedrooms,'m
better  you,better  me,hope
away railway city,away railway station,have
10  minutes,main  square,Stayed for
bit  we,heater,was comfortable
Requesting,airport hotel,was convenient
Alfredo,extra  us,was
coca it,hours  floor,offer
group,3  nights,stayed at
walking Plaza that,Cusco,location within
Lots,restaurants,close
Hotel,quite Classic character,is of
rooms,private  washrooms,are spacious
priced  value,money,'s
They,speaking  people,were
Claudia,front  desk,was
conveniently Airport I,again  Group,did
you,good  stay,has
you,what,is
daughters,La Casona Cuzco,stayed at
we,what,was
triple  room,bad  odor,was
triple  we,couple,saw
We,hotel,return to
very  it,relatively  Plaza,is
we,next  trip,hope
I,best  stuff,have
when  things,south  trip,were friendly
We,1  hospital,had
that,English,were
I,so  staff,’m
we,next  city,needed
